YEAR,PERIOD,UNIT_CODE,UNIT_TITLE,DELIVERY_UNIT,FULL_PERIOD_NUM,CLASS_SIZE,CLASS_BOXPLOT
2021,H1B2,NBC1112,Building science,NBC1112-2021-H1B2,2021120,69,"{""q1"": 56.5, ""median"": 67.0, ""q3"": 76.0, ""whisker_low"": 31.0, ""whisker_high"": 85.0, ""outliers"": [0.0, 7.0, 11.0, 6.0, 0.0, 0.0, 0.0]}"
2021,H1B2,NBC2004,Building and construction studies,NBC2004-2021-H1B2,2021120,38,"{""q1"": 57.0, ""median"": 63.5, ""q3"": 66.0, ""whisker_low"": 50.0, ""whisker_high"": 75.0, ""outliers"": [80.0, 80.0, 38.0, 8.0, 43.0, 84.0]}"
2021,H1B2,NBC2005,Building materials,NBC2005-2021-H1B2,2021120,32,"{""q1"": 72.75, ""median"": 78.0, ""q3"": 80.0, ""whisker_low"": 65.0, ""whisker_high"": 84.0, ""outliers"": [60.0, 13.0]}"
2021,H1B2,NBC3006,Construction site operations,NBC3006-2021-H1B2,2021120,29,"{""q1"": 59.0, ""median"": 70.0, ""q3"": 74.0, ""whisker_low"": 50.0, ""whisker_high"": 82.0, ""outliers"": [16.0]}"
2021,H1B2,NBC3101,Project management practice,NBC3101-2021-H1B2,2021120,65,"{""q1"": 70.0, ""median"": 74.0, ""q3"": 81.0, ""whisker_low"": 54.0, ""whisker_high"": 88.0, ""outliers"": [51.0]}"
2021,H1B2,NBC4001,Procurement management,NBC4001-2021-H1B2,2021120,30,"{""q1"": 67.0, ""median"": 76.0, ""q3"": 80.75, ""whisker_low"": 58.0, ""whisker_high"": 95.0, ""outliers"": [0.0]}"
2021,H1B2,NBC4002,Advanced construction,NBC4002-2021-H1B2,2021120,25,"{""q1"": 53.0, ""median"": 58.0, ""q3"": 74.0, ""whisker_low"": 29.0, ""whisker_high"": 88.0, ""outliers"": [0.0, 0.0]}"
2021,H1B2,NBD1100,Built environment communication and skills,NBD1100-2021-H1B2,2021120,59,"{""q1"": 56.25, ""median"": 74.0, ""q3"": 79.0, ""whisker_low"": 24.0, ""whisker_high"": 90.0, ""outliers"": [22.0, 22.0, 20.0, 0.0, 0.0, 22.0, 0.0, 22.0]}"
2021,H1B2,NBD2002,Building contract documentation,NBD2002-2021-H1B2,2021120,30,"{""q1"": 65.0, ""median"": 67.5, ""q3"": 73.75, ""whisker_low"": 62.0, ""whisker_high"": 80.0, ""outliers"": []}"
2021,H1B2,NBD3001,Risk and safety management,NBD3001-2021-H1B2,2021120,32,"{""q1"": 70.75, ""median"": 76.0, ""q3"": 78.5, ""whisker_low"": 65.0, ""whisker_high"": 89.0, ""outliers"": [0.0, 13.0]}"
2021,H1B2,NEC2103,Engineering materials & construction,NEC2103-2021-H1B2,2021120,22,"{""q1"": 64.0, ""median"": 72.5, ""q3"": 81.5, ""whisker_low"": 52.0, ""whisker_high"": 90.0, ""outliers"": []}"
2021,H1B2,NEC3101,Structural analysis,NEC3101-2021-H1B2,2021120,24,"{""q1"": 52.0, ""median"": 62.5, ""q3"": 77.75, ""whisker_low"": 45.0, ""whisker_high"": 90.0, ""outliers"": []}"
2021,H1B2,NEC3103,Hydrology and water resources,NEC3103-2021-H1B2,2021120,28,"{""q1"": 60.75, ""median"": 64.5, ""q3"": 73.5, ""whisker_low"": 50.0, ""whisker_high"": 83.0, ""outliers"": []}"
2021,H1B2,NEC4101,Environmental engineering 1,NEC4101-2021-H1B2,2021120,27,"{""q1"": 60.0, ""median"": 68.0, ""q3"": 73.0, ""whisker_low"": 50.0, ""whisker_high"": 84.0, ""outliers"": []}"
2021,H1B2,NEC4102,Structural engineering design 2,NEC4102-2021-H1B2,2021120,1,{}
2021,H1B2,NEE2107,Telecommunications,NEE2107-2021-H1B2,2021120,16,"{""q1"": 60.75, ""median"": 74.0, ""q3"": 80.25, ""whisker_low"": 52.0, ""whisker_high"": 97.0, ""outliers"": [27.0, 0.0]}"
2021,H1B2,NEE3103,Electrical machines,NEE3103-2021-H1B2,2021120,15,"{""q1"": 64.5, ""median"": 70.0, ""q3"": 80.0, ""whisker_low"": 54.0, ""whisker_high"": 92.0, ""outliers"": []}"
2021,H1B2,NEE3201,Introduction to control systems,NEE3201-2021-H1B2,2021120,20,"{""q1"": 52.75, ""median"": 60.0, ""q3"": 75.5, ""whisker_low"": 25.0, ""whisker_high"": 96.0, ""outliers"": []}"
2021,H1B2,NEE3203,Embedded systems,NEE3203-2021-H1B2,2021120,1,{}
2021,H1B2,NEF1102,Engineering physics 1,NEF1102-2021-H1B2,2021120,14,"{""q1"": 60.0, ""median"": 77.5, ""q3"": 84.25, ""whisker_low"": 24.0, ""whisker_high"": 96.0, ""outliers"": [0.0]}"
2021,H1B2,NEF1202,Engineering physics 2,NEF1202-2021-H1B2,2021120,18,"{""q1"": 60.25, ""median"": 78.5, ""q3"": 86.0, ""whisker_low"": 28.0, ""whisker_high"": 93.0, ""outliers"": []}"
